driverId,year,total_points,races_entered,dnfs,avg_grid,avg_finish,completed_races,ref,constructor
840,2019,21.0,21,2,15.421052631578947,12.052631578947368,6,stroll,211
826,2019,37.0,21,3,14.0,10.666666666666666,8,kvyat,5
846,2019,49.0,21,4,8.882352941176471,9.411764705882353,8,norris,1
815,2019,52.0,21,2,12.31578947368421,9.894736842105264,8,perez,211
848,2019,92.0,21,1,9.05,8.85,14,albon,5
841,2019,14.0,21,1,13.95,13.65,6,giovinazzi,51
847,2019,0.0,21,2,16.68421052631579,15.526315789473685,2,russell,3
9,2019,1.0,21,2,15.68421052631579,16.94736842105263,2,kubica,3
817,2019,54.0,21,6,10.133333333333333,9.4,8,ricciardo,4
832,2019,96.0,21,4,9.941176470588236,7.823529411764706,10,sainz,1
822,2020,223.0,17,1,2.375,4.3125,15,bottas,131
813,2015,27.0,19,9,12.9,9.9,7,maldonado,208
833,2015,0.0,13,1,18.416666666666668,15.5,0,merhi,209
836,2016,1.0,21,5,18.8125,16.0625,1,wehrlein,209
839,2016,0.0,9,0,20.444444444444443,17.0,1,ocon,209
839,2017,87.0,20,1,9.473684210526315,7.947368421052632,11,ocon,10
836,2017,5.0,18,3,16.4,13.866666666666667,1,wehrlein,15
842,2017,0.0,5,0,17.0,13.6,0,gasly,5
839,2018,49.0,21,6,10.6,9.2,8,ocon,10
842,2018,29.0,21,5,12.625,11.125,7,gasly,5
842,2019,95.0,21,1,9.5,8.95,9,gasly,9
154,2015,51.0,19,6,10.76923076923077,8.615384615384615,8,grosjean,208
154,2016,29.0,21,5,14.3125,11.75,6,grosjean,210
154,2017,28.0,20,3,13.235294117647058,11.0,6,grosjean,210
154,2018,37.0,21,6,10.333333333333334,10.8,6,grosjean,210
154,2019,8.0,21,6,12.066666666666666,13.4,5,grosjean,210
844,2020,98.0,17,4,8.0,7.0,10,leclerc,6
846,2020,97.0,17,1,8.8125,7.8125,12,norris,1
1,2020,347.0,16,0,1.875,1.875,16,hamilton,131
832,2020,105.0,17,3,8.571428571428571,6.785714285714286,10,sainz,1
815,2020,125.0,15,1,6.571428571428571,6.5,10,perez,211
841,2020,4.0,17,3,17.142857142857142,13.857142857142858,6,giovinazzi,51
849,2020,0.0,17,3,18.714285714285715,15.428571428571429,6,latifi,3
826,2020,32.0,17,1,11.8125,10.625,8,kvyat,213
848,2020,105.0,17,1,7.5,7.75,13,albon,9
8,2020,4.0,17,1,16.1875,13.0,6,raikkonen,51
847,2020,3.0,17,4,13.23076923076923,14.615384615384615,4,russell,3
825,2020,1.0,17,6,15.363636363636363,14.727272727272727,3,kevin_magnussen,210
840,2020,75.0,16,5,7.545454545454546,7.0,10,stroll,211
817,2020,119.0,17,1,7.4375,6.75,12,ricciardo,4
830,2020,214.0,17,5,3.0,2.4166666666666665,12,max_verstappen,9
807,2020,10.0,3,1,11.5,7.5,2,hulkenberg,211
838,2016,1.0,1,0,12.0,10.0,0,vandoorne,1
851,2020,0.0,1,0,17.0,16.0,1,aitken,3
850,2020,0.0,2,0,18.5,18.0,1,pietro_fittipaldi,210
830,2021,388.5,22,3,3.0526315789473686,1.8421052631578947,19,max_verstappen,9
1,2021,385.5,22,1,3.0476190476190474,2.761904761904762,21,hamilton,131
846,2021,160.0,22,1,6.904761904761905,6.619047619047619,15,norris,1
844,2021,159.0,22,2,6.7,6.6,16,leclerc,6
832,2021,163.5,22,0,7.909090909090909,6.5,19,sainz,6
817,2021,114.0,22,1,9.619047619047619,8.095238095238095,13,ricciardo,1
840,2021,34.0,22,3,12.789473684210526,10.789473684210526,10,stroll,117
4,2021,81.0,22,2,10.15,9.05,11,alonso,214
815,2021,190.0,22,2,4.4,6.6,17,perez,9
8,2021,10.0,20,2,13.055555555555555,12.5,5,raikkonen,51
841,2021,3.0,22,1,12.761904761904763,12.904761904761905,4,giovinazzi,51
20,2021,43.0,22,3,11.105263157894736,11.052631578947368,6,vettel,117
854,2021,0.0,22,3,17.842105263157894,16.473684210526315,3,mick_schumacher,210
853,2021,0.0,22,6,18.4375,17.8125,2,mazepin,210
822,2021,219.0,22,4,5.777777777777778,5.0,17,bottas,131
847,2021,16.0,22,5,12.823529411764707,12.588235294117647,4,russell,3
849,2021,7.0,22,3,15.157894736842104,15.105263157894736,5,latifi,3
9,2021,0.0,2,0,16.5,14.5,1,kubica,51
844,2022,291.0,22,3,4.368421052631579,3.3157894736842106,19,leclerc,6
832,2022,228.0,22,6,5.0,3.5,16,sainz,6
1,2022,233.0,22,1,6.619047619047619,5.380952380952381,19,hamilton,131
847,2022,262.0,22,1,5.333333333333333,4.380952380952381,20,russell,131
825,2022,21.0,22,4,12.666666666666666,13.166666666666666,9,kevin_magnussen,210
822,2022,47.0,22,5,10.235294117647058,10.411764705882353,11,bottas,51
4,2022,81.0,22,5,10.0,8.647058823529411,12,alonso,214
855,2022,6.0,22,5,13.235294117647058,12.882352941176471,10,zhou,51
854,2022,12.0,22,3,14.105263157894736,13.631578947368421,9,mick_schumacher,210
