Unnamed: 0,driverId,year,DNF_rate,ref,constructor,constructorRef,position_delta,high_alt_sucess_rate,team_avg_position,dvt,finish_volatility,years_active,top10,avg_finish,races_entered,max_races_in_season,season_fraction,total_points,fv_terciles,dvt_terciles,logit_dnf,logit_top10,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,gmm_cluster,confidence
98,830,2019,0.0952380952380952,max_verstappen,9,red_bull,1.1578947368421053,0.6666666666666666,5.261904761904762,0.3298404381995714,1.7280479115138951,4,1.0,3.526315789473684,21,21,1.0,278.0,Low,high,-2.0541237336955467,3.7612001156935633,0.023919275978933438,99.97403462083044,0.0020461031906389157,4.460568965126583e-28,1.277004564229007e-74,1,99.97403462083044
99,20,2019,0.238095238095238,vettel,6,ferrari,-0.6842105263157894,0.6666666666666666,4.476190476190476,-0.1405375139977604,4.621400298634778,5,0.8421052631578947,5.105263157894737,21,21,1.0,240.0,High,low,-1.0986122886681102,1.5614060813470951,62.660646047096826,0.1124844292688245,37.22543999765093,0.001429525982662595,7.182481906997894e-13,0,62.660646047096826
100,844,2019,0.1904761904761904,leclerc,6,ferrari,-0.7894736842105261,0.6666666666666666,4.476190476190476,0.0593505039193729,3.518057887803874,1,0.9473684210526316,4.2105263157894735,21,21,1.0,264.0,High,high,-1.3581234841531948,2.5419891651800364,20.554550687445072,0.703593300219029,78.74185267661234,3.3357236045312957e-06,2.0064844961372727e-28,2,78.74185267661234
101,825,2019,0.7142857142857143,kevin_magnussen,210,haas,-2.526315789473685,0.3333333333333333,13.05,-0.0123008671103044,3.6212668235304366,5,0.2105263157894736,13.210526315789474,21,21,1.0,20.0,High,medium,0.8690378470236096,-1.244324099849504,0.05166352677050006,5.435730450982141e-13,5.732663564343267e-07,99.9483351379088,7.620538235970004e-07,3,99.9483351379088
102,807,2019,0.6666666666666666,hulkenberg,4,renault,-0.2941176470588242,0.3333333333333333,9.833333333333334,-0.0468594217347956,2.7389286416053684,5,0.5882352941176471,10.294117647058824,21,21,1.0,37.0,Medium,medium,0.6592456288842639,0.340140282916356,19.616087802814206,2.1344785921145947e-05,0.00010781734182763188,80.38376088864922,2.2146408875407643e-05,3,80.38376088864922
103,8,2019,0.7142857142857143,raikkonen,51,alfa,-0.6315789473684212,0.6666666666666666,12.19047619047619,0.1062911184210525,3.5227790590908445,5,0.4736842105263157,10.894736842105264,21,21,1.0,43.0,High,high,0.8690378470236096,-0.1005631323879811,3.0744184696351944,1.591200564847698e-08,6.842343160800836e-09,96.9255815076032,7.28692446681153e-12,3,96.9255815076032
104,826,2019,0.6190476190476191,kvyat,5,toro_rosso,3.333333333333334,0.3333333333333333,10.69047619047619,0.0022271714922048,3.248931448269655,5,0.5555555555555556,10.666666666666666,21,21,1.0,37.0,High,medium,0.462623521948113,0.2129219972426719,50.444751239963296,0.0022795646762927167,9.660749444942515e-09,49.55296284195651,6.343743166332488e-06,0,50.444751239963296
105,846,2019,0.6190476190476191,norris,1,mclaren,-0.5294117647058822,0.6666666666666666,8.785714285714286,-0.0712577714012433,2.8087850320737227,0,0.6470588235294118,9.411764705882351,21,21,1.0,49.0,Medium,low,0.462623521948113,0.5769892178090766,51.67197000110948,3.059004529375685e-06,0.05672224554899541,48.26958629177952,0.0017184025574671074,0,51.67197000110948
106,815,2019,0.6190476190476191,perez,211,racing_point,2.421052631578947,0.6666666666666666,10.857142857142858,0.0886426592797783,3.0243700839070824,5,0.5789473684210527,9.894736842105264,21,21,1.0,52.0,Medium,high,0.462623521948113,0.3037494806303455,45.422032604471994,0.0008285370250030922,4.641008428547138e-10,54.577138857989894,4.897944414392518e-11,3,54.577138857989894
107,848,2019,0.3333333333333333,albon,5,toro_rosso,0.200000000000001,0.3333333333333333,10.69047619047619,0.1721603563474387,3.650684867254362,0,0.65,8.85,21,21,1.0,92.0,High,high,-0.6592456288842641,0.5892010922949296,99.53942905689728,4.505680457131616e-06,0.023684225115312593,0.4368822122605041,4.6464586869261305e-11,0,99.53942905689728
